date, timestamp, heart rate
2019-06-13 13:46:53 +0000, 00:07:48, 117
2019-06-13 13:46:54 +0000, 00:07:49, 117
2019-06-13 13:46:55 +0000, 00:07:50, 116
2019-06-13 13:46:56 +0000, 00:07:51, 115
2019-06-13 13:46:57 +0000, 00:07:52, 99
2019-06-13 13:46:58 +0000, 00:07:53, 93
2019-06-13 13:46:59 +0000, 00:07:54, 90
2019-06-13 13:47:00 +0000, 00:07:55, 87
2019-06-13 13:47:01 +0000, 00:07:56, 86
2019-06-13 13:47:02 +0000, 00:07:57, 85
2019-06-13 13:47:03 +0000, 00:07:58, 85
2019-06-13 13:47:04 +0000, 00:07:59, 86
2019-06-13 13:47:05 +0000, 00:08:00, 88
2019-06-13 13:47:06 +0000, 00:08:01, 89
2019-06-13 13:47:07 +0000, 00:08:02, 91
2019-06-13 13:47:08 +0000, 00:08:03, 91
2019-06-13 13:47:09 +0000, 00:08:04, 91
2019-06-13 13:47:10 +0000, 00:08:05, 92
2019-06-13 13:47:11 +0000, 00:08:06, 93
2019-06-13 13:47:12 +0000, 00:08:07, 93
2019-06-13 13:47:13 +0000, 00:08:08, 93
2019-06-13 13:47:14 +0000, 00:08:09, 93
2019-06-13 13:47:15 +0000, 00:08:10, 90
2019-06-13 13:47:16 +0000, 00:08:11, 88
2019-06-13 13:47:17 +0000, 00:08:12, 90
2019-06-13 13:47:18 +0000, 00:08:13, 91
2019-06-13 13:47:19 +0000, 00:08:14, 93
2019-06-13 13:47:20 +0000, 00:08:15, 93
2019-06-13 13:47:21 +0000, 00:08:16, 93
2019-06-13 13:47:22 +0000, 00:08:17, 97
2019-06-13 13:47:23 +0000, 00:08:18, 99
2019-06-13 13:47:24 +0000, 00:08:19, 100
2019-06-13 13:47:25 +0000, 00:08:20, 101
2019-06-13 13:47:26 +0000, 00:08:21, 100
2019-06-13 13:47:27 +0000, 00:08:22, 99
2019-06-13 13:47:28 +0000, 00:08:23, 100
2019-06-13 13:47:30 +0000, 00:08:25, 99
2019-06-13 13:47:31 +0000, 00:08:26, 100
2019-06-13 13:47:31 +0000, 00:08:26, 100
2019-06-13 13:47:32 +0000, 00:08:27, 100
2019-06-13 13:47:33 +0000, 00:08:28, 100
2019-06-13 13:47:34 +0000, 00:08:29, 101
2019-06-13 13:47:35 +0000, 00:08:30, 102
2019-06-13 13:47:36 +0000, 00:08:31, 103
2019-06-13 13:47:37 +0000, 00:08:32, 102
2019-06-13 13:47:38 +0000, 00:08:33, 101
2019-06-13 13:47:39 +0000, 00:08:34, 100
2019-06-13 13:47:40 +0000, 00:08:35, 100
2019-06-13 13:47:41 +0000, 00:08:36, 100
